
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003815                       # Number of seconds simulated (Second)
simTicks                                   3815109375                       # Number of ticks simulated (Tick)
finalTick                                  3815109375                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.84                       # Real time elapsed on the host (Second)
hostTickRate                               2074386157                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     658796                       # Number of bytes of host memory used (Byte)
simInsts                                       443675                       # Number of instructions simulated (Count)
simOps                                         537149                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   239930                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     290397                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           625                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          6104176                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              13.758215                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.072684                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          550387                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      106                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         588590                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     35                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                13338                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             25538                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  58                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2381528                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.247148                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.569624                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1909502     80.18%     80.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    387676     16.28%     96.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     61196      2.57%     99.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     18281      0.77%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      2634      0.11%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       992      0.04%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       680      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       433      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       134      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2381528                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     113     52.56%     52.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     52.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     52.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     52.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     52.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     52.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     52.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     52.56% # attempts to use FU when none available (Count)
