CPU Model            Memory Model              Frequency  Tick Count     
AtomicSimpleCPU      DDR3_1600_8x8             600MHz     1092210065     
AtomicSimpleCPU      DDR3_2133_8x8             600MHz     1092210065     
AtomicSimpleCPU      DDR4_2400_8x8             600MHz     1092210065     
AtomicSimpleCPU      DDR5_4400_4x8             600MHz     1092210065     
AtomicSimpleCPU      LPDDR5_5500_1x16_8B_BL32  600MHz     1092210065     
AtomicSimpleCPU      DDR3_1600_8x8             800MHz     818993750      
AtomicSimpleCPU      DDR3_2133_8x8             800MHz     818993750      
AtomicSimpleCPU      DDR4_2400_8x8             800MHz     818993750      
AtomicSimpleCPU      DDR5_4400_4x8             800MHz     818993750      
AtomicSimpleCPU      LPDDR5_5500_1x16_8B_BL32  800MHz     818993750      
AtomicSimpleCPU      DDR3_1600_8x8             1GHz       655195000      
AtomicSimpleCPU      DDR3_2133_8x8             1GHz       655195000      
AtomicSimpleCPU      DDR4_2400_8x8             1GHz       655195000      
AtomicSimpleCPU      DDR5_4400_4x8             1GHz       655195000      
AtomicSimpleCPU      LPDDR5_5500_1x16_8B_BL32  1GHz       655195000      
AtomicSimpleCPU      DDR3_1600_8x8             1.2GHz     545777435      
AtomicSimpleCPU      DDR3_2133_8x8             1.2GHz     545777435      
AtomicSimpleCPU      DDR4_2400_8x8             1.2GHz     545777435      
AtomicSimpleCPU      DDR5_4400_4x8             1.2GHz     545777435      
AtomicSimpleCPU      LPDDR5_5500_1x16_8B_BL32  1.2GHz     545777435      
AtomicSimpleCPU      DDR3_1600_8x8             1.4GHz     467809230      
AtomicSimpleCPU      DDR3_2133_8x8             1.4GHz     467809230      
AtomicSimpleCPU      DDR4_2400_8x8             1.4GHz     467809230      
AtomicSimpleCPU      DDR5_4400_4x8             1.4GHz     467809230      
AtomicSimpleCPU      LPDDR5_5500_1x16_8B_BL32  1.4GHz     467809230      
AtomicSimpleCPU      DDR3_1600_8x8             1.6GHz     409496875      
AtomicSimpleCPU      DDR3_2133_8x8             1.6GHz     409496875      
AtomicSimpleCPU      DDR4_2400_8x8             1.6GHz     409496875      
AtomicSimpleCPU      DDR5_4400_4x8             1.6GHz     409496875      
AtomicSimpleCPU      LPDDR5_5500_1x16_8B_BL32  1.6GHz     409496875      
AtomicSimpleCPU      DDR3_1600_8x8             1.8GHz     364288420      
AtomicSimpleCPU      DDR3_2133_8x8             1.8GHz     364288420      
AtomicSimpleCPU      DDR4_2400_8x8             1.8GHz     364288420      
AtomicSimpleCPU      DDR5_4400_4x8             1.8GHz     364288420      
AtomicSimpleCPU      LPDDR5_5500_1x16_8B_BL32  1.8GHz     364288420      
AtomicSimpleCPU      DDR3_1600_8x8             2GHz       327597500      
AtomicSimpleCPU      DDR3_2133_8x8             2GHz       327597500      
AtomicSimpleCPU      DDR4_2400_8x8             2GHz       327597500      
AtomicSimpleCPU      DDR5_4400_4x8             2GHz       327597500      
AtomicSimpleCPU      LPDDR5_5500_1x16_8B_BL32  2GHz       327597500      
AtomicSimpleCPU      DDR3_1600_8x8             2.2GHz     298113725      
AtomicSimpleCPU      DDR3_2133_8x8             2.2GHz     298113725      
AtomicSimpleCPU      DDR4_2400_8x8             2.2GHz     298113725      
AtomicSimpleCPU      DDR5_4400_4x8             2.2GHz     298113725      
AtomicSimpleCPU      LPDDR5_5500_1x16_8B_BL32  2.2GHz     298113725      
AtomicSimpleCPU      DDR3_1600_8x8             2.4GHz     273216315      
AtomicSimpleCPU      DDR3_2133_8x8             2.4GHz     273216315      
AtomicSimpleCPU      DDR4_2400_8x8             2.4GHz     273216315      
AtomicSimpleCPU      DDR5_4400_4x8             2.4GHz     273216315      
AtomicSimpleCPU      LPDDR5_5500_1x16_8B_BL32  2.4GHz     273216315      
AtomicSimpleCPU      DDR3_1600_8x8             2.6GHz     252250075      
AtomicSimpleCPU      DDR3_2133_8x8             2.6GHz     252250075      
AtomicSimpleCPU      DDR4_2400_8x8             2.6GHz     252250075      
AtomicSimpleCPU      DDR5_4400_4x8             2.6GHz     252250075      
AtomicSimpleCPU      LPDDR5_5500_1x16_8B_BL32  2.6GHz     252250075      
AtomicSimpleCPU      DDR3_1600_8x8             2.8GHz     233904615      
AtomicSimpleCPU      DDR3_2133_8x8             2.8GHz     233904615      
AtomicSimpleCPU      DDR4_2400_8x8             2.8GHz     233904615      
AtomicSimpleCPU      DDR5_4400_4x8             2.8GHz     233904615      
AtomicSimpleCPU      LPDDR5_5500_1x16_8B_BL32  2.8GHz     233904615      
AtomicSimpleCPU      DDR3_1600_8x8             3GHz       218179935      
AtomicSimpleCPU      DDR3_2133_8x8             3GHz       218179935      
AtomicSimpleCPU      DDR4_2400_8x8             3GHz       218179935      
AtomicSimpleCPU      DDR5_4400_4x8             3GHz       218179935      
AtomicSimpleCPU      LPDDR5_5500_1x16_8B_BL32  3GHz       218179935      
AtomicSimpleCPU      DDR3_1600_8x8             3.2GHz     205076035      
AtomicSimpleCPU      DDR3_2133_8x8             3.2GHz     205076035      
AtomicSimpleCPU      DDR4_2400_8x8             3.2GHz     205076035      
AtomicSimpleCPU      DDR5_4400_4x8             3.2GHz     205076035      
AtomicSimpleCPU      LPDDR5_5500_1x16_8B_BL32  3.2GHz     205076035      
AtomicSimpleCPU      DDR3_1600_8x8             3.3GHz     198524085      
AtomicSimpleCPU      DDR3_2133_8x8             3.3GHz     198524085      
AtomicSimpleCPU      DDR4_2400_8x8             3.3GHz     198524085      
AtomicSimpleCPU      DDR5_4400_4x8             3.3GHz     198524085      
AtomicSimpleCPU      LPDDR5_5500_1x16_8B_BL32  3.3GHz     198524085      
