
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007430                       # Number of seconds simulated (Second)
simTicks                                   7430302000                       # Number of ticks simulated (Tick)
finalTick                                  7430302000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      6.31                       # Real time elapsed on the host (Second)
hostTickRate                               1177191114                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     660844                       # Number of bytes of host memory used (Byte)
simInsts                                      1742103                       # Number of instructions simulated (Count)
simOps                                        2334410                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   275888                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     369654                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         14860605                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               8.530268                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.117230                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         2351080                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      103                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        2542012                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     29                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                16767                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             30681                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  55                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             8025919                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.316725                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.725331                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6254918     77.93%     77.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1347465     16.79%     94.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    190772      2.38%     97.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    125363      1.56%     98.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    101700      1.27%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      4644      0.06%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       630      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       302      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       125      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               8025919                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      75      0.31%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.31% # attempts to use FU when none available (Count)
