
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004365                       # Number of seconds simulated (Second)
simTicks                                   4365241000                       # Number of ticks simulated (Tick)
finalTick                                  4365241000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     26.82                       # Real time elapsed on the host (Second)
hostTickRate                                162785276                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     663912                       # Number of bytes of host memory used (Byte)
simInsts                                     16439589                       # Number of instructions simulated (Count)
simOps                                       25541607                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   612811                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     952079                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          8730483                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.531065                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.883010                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        25736037                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      114                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       25650119                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    136                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               194538                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            343620                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  66                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             8687614                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.952493                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.754612                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    337175      3.88%      3.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1953310     22.48%     26.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1399716     16.11%     42.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2070916     23.84%     66.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    999255     11.50%     77.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1151368     13.25%     91.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    501366      5.77%     96.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    273491      3.15%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1017      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               8687614                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1667     87.92%     87.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     87.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     87.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     87.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     87.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     87.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     87.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     87.92% # attempts to use FU when none available (Count)
