
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008977                       # Number of seconds simulated (Second)
simTicks                                   8977074500                       # Number of ticks simulated (Tick)
finalTick                                  8977074500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     37.35                       # Real time elapsed on the host (Second)
hostTickRate                                240329843                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     665964                       # Number of bytes of host memory used (Byte)
simInsts                                     18526036                       # Number of instructions simulated (Count)
simOps                                       29788209                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   495938                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     797411                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         17954150                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.969131                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.031853                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        32326748                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       97                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       30957665                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     34                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2538630                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5382078                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  49                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            17912644                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.728258                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.470666                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4284757     23.92%     23.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5673751     31.67%     55.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1712195      9.56%     65.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3817756     21.31%     86.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1805618     10.08%     96.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    531634      2.97%     99.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     83146      0.46%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      3558      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       229      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              17912644                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     301      0.03%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.03% # attempts to use FU when none available (Count)
