Pass Count,Configuration,simSeconds,cpi,L1icache_MissRate,L1dcache_MissRate,L2_MissRate
Pass 1,TimingSimpleCPU_16kB_32kB_2_2_256kB_8_20_mm_simple.1,0.0304,3.698375,0.000025,0.00047,0.425148
Pass 1,TimingSimpleCPU_16kB_32kB_2_2_256kB_8_20_mm_rearranged.1,0.029163,3.544177,0.000027,0.000528,0.382371
Pass 1,TimingSimpleCPU_16kB_32kB_2_2_256kB_8_20_mm_blocked.1,0.033234,3.587809,0.000024,0.00045,0.39496
Pass 2,DerivO3CPU_16kB_32kB_2_2_256kB_8_20_mm_simple.1,0.004365,0.531065,0.000619,0.000494,0.563453
Pass 2,DerivO3CPU_16kB_32kB_2_2_256kB_8_20_mm_rearranged.1,0.004404,0.535194,0.000637,0.000937,0.439172
Pass 2,DerivO3CPU_16kB_32kB_2_2_256kB_8_20_mm_blocked.1,0.007608,0.82137,0.000562,0.000543,0.426286
Pass 3,TimingSimpleCPU_64kB_128kB_2_2_256kB_8_20_mm_blocked.1,0.0332,3.584161,0.000023,0.000144,0.999464
Pass 4,DerivO3CPU_64kB_128kB_2_2_256kB_8_20_mm_blocked.1,0.007574,0.81771,0.000519,0.000189,1
Pass 5,TimingSimpleCPU_64kB_128kB_2_2_1MB_8_20_mm_blocked.1,0.0332,3.584161,0.000023,0.000144,0.999464
Pass 6,DerivO3CPU_64kB_128kB_4_2_256kB_8_20_mm_blocked.1,0.007574,0.81771,0.000519,0.000189,1
Pass 7,DerivO3CPU_64kB_128kB_8_2_256kB_8_20_mm_blocked.1,0.007574,0.81771,0.000519,0.000189,1
Pass 8,DerivO3CPU_64kB_128kB_8_2_256kB_16_20_mm_blocked.1,0.007574,0.81771,0.000519,0.000189,1
Pass 9,DerivO3CPU_64kB_128kB_8_2_256kB_16_10_mm_blocked.1,0.007566,0.816769,0.000517,0.000189,1
Pass 10,DerivO3CPU_64kB_128kB_8_4_256kB_16_20_mm_blocked.1,0.008977,0.969131,0.000492,0.000188,1
