
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002286                       # Number of seconds simulated (Second)
simTicks                                   2285653000                       # Number of ticks simulated (Tick)
finalTick                                  2285653000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      2.38                       # Real time elapsed on the host (Second)
hostTickRate                                960759258                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     658796                       # Number of bytes of host memory used (Byte)
simInsts                                       509237                       # Number of instructions simulated (Count)
simOps                                         673423                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   213813                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     282681                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          4571307                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               8.976777                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.111399                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          705264                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      133                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         753085                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     22                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                31968                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             63765                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  85                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2497131                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.301580                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.717662                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1970186     78.90%     78.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    406827     16.29%     95.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     54419      2.18%     97.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     30449      1.22%     98.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     32066      1.28%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      1835      0.07%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       896      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       366      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        87      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2497131                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     104      1.37%      1.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      1.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.37% # attempts to use FU when none available (Count)
