
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007406                       # Number of seconds simulated (Second)
simTicks                                   7405891500                       # Number of ticks simulated (Tick)
finalTick                                  7405891500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      6.33                       # Real time elapsed on the host (Second)
hostTickRate                               1170199808                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     658800                       # Number of bytes of host memory used (Byte)
simInsts                                      1742103                       # Number of instructions simulated (Count)
simOps                                        2334410                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   275060                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     368550                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         14811784                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               8.502244                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.117616                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         2348002                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      103                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        2538984                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     37                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                13689                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             26705                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  55                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             8008862                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.317022                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.725613                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6239937     77.91%     77.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1345879     16.80%     94.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    190688      2.38%     97.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    125028      1.56%     98.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    101628      1.27%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      4636      0.06%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       630      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       315      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       121      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               8008862                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      83      0.34%      0.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.34% # attempts to use FU when none available (Count)
